,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
43,ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/301407636/,Москва,sale,flat,21,22,1,38.5,-1,0,14999000,Южное Тушино,бульвар Яна Райниса,45К2,Сходненская,
44,Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301680909/,Москва,sale,flat,8,9,1,31.0,-1,0,11600000,Ясенево,Литовский бульвар,3К2,Ясенево,
45,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299469625/,Москва,sale,flat,8,17,1,38.0,-1,0,10000000,Северное Бутово, Грина,9,Бульвар Дмитрия Донского,
46,Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/300967755/,Москва,sale,flat,2,2,1,28.7,-1,0,9500000,Текстильщики,Грайвороновская ,4С2,Текстильщики,
47,Диана Тухбатуллина,realtor,https://www.cian.ru/sale/flat/300400527/,Москва,sale,flat,3,5,1,31.0,-1,0,8490000,, Харлампиева,30к1,Филатов Луг,Спортивный квартал
48,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299635004/,Москва,sale,flat,16,17,1,37.8,-1,0,8700000,, Солнечная,15,Рассказовка,Град Московский
49,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297902239/,Москва,sale,flat,13,16,1,37.5,-1,0,10300000,Бибирево,Белозерская ,17,Бибирево,
50,Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/300179831/,Москва,sale,flat,2,20,1,40.1,-1,0,13700000,Коньково, Введенского,13в,Беляево,
51,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/295294075/,Москва,sale,flat,6,12,1,35.2,-1,0,10500000,Преображенское,2-я Пугачевская ,9К1,Преображенская площадь,
52,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297727983/,Москва,sale,flat,25,25,1,46.3,-1,0,15500000,Левобережный,Валдайский проезд,10к1,Беломорская,
53,Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301613522/,Москва,sale,flat,9,9,1,35.5,-1,0,13790000,Кунцево,Молдавская ,8,Кунцевская,
54,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301129606/,Москва,sale,flat,1,5,1,17.9,-1,0,9600000,Соколиная гора,проспект Буденного,24К3,Сортировочная,
55,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298520114/,Москва,sale,flat,9,12,1,39.0,-1,0,9380000,Марьино,Донецкая ,19,Курьяново,
56,Business Leader,real_estate_agent,https://www.cian.ru/sale/flat/301821529/,Москва,sale,flat,14,14,1,40.0,-1,0,13000000,Южнопортовый,Шарикоподшипниковская ,16,Дубровка,
57,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298065569/,Москва,sale,flat,8,12,1,34.9,-1,0,9000000,Дмитровский,Клязьминская ,4,Грачёвская,
58,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294038293/,Москва,sale,flat,11,24,1,43.5,-1,0,14100000,Нижегородский, Нижняя Хохловка,8,Нижегородская,
59,Ксения Шахматова,realtor,https://www.cian.ru/sale/flat/300488507/,Москва,sale,flat,6,9,1,36.0,-1,0,12500000,Отрадное, Бестужевых,3Б,Отрадное,
60,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300725362/,Москва,sale,flat,8,9,1,35.0,-1,0,10490000,Северное Тушино, Вилиса Лациса,11К3,Планерная,
61,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299942586/,Москва,sale,flat,18,21,1,42.0,-1,0,15450000,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная,Мичуринский парк
62,Homeprice,real_estate_agent,https://www.cian.ru/sale/flat/301044462/,Москва,sale,flat,2,5,1,38.0,-1,0,11400000,Академический, Шверника,14/1К1,Академическая,
63,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294451528/,Москва,sale,flat,9,17,1,38.0,-1,0,10500000,Южное Бутово,Веневская ,9,Бульвар Адмирала Ушакова,
64,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300889564/,Москва,sale,flat,12,16,1,40.6,-1,0,18900000,Можайский, Вересаева,10,Давыдково,
65,Илья Сетков,realtor,https://www.cian.ru/sale/flat/301178903/,Москва,sale,flat,4,9,1,31.8,-1,0,10700000,Хорошево-Мневники,Карамышевская набережная,2/1,Народное Ополчение,
66,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300071808/,Москва,sale,flat,4,5,1,51.4,-1,0,11800000,Рязанский, Михайлова,22К1,Плющево,
67,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294258749/,Москва,sale,flat,12,17,1,37.9,-1,0,12000000,Братеево,Братеевская ,21,Борисово,
68,ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/294760157/,Москва,sale,flat,5,16,1,20.3,-1,0,7000000,Очаково-Матвеевское,Аминьевское шоссе,17,Давыдково,
69,Estes,real_estate_agent,https://www.cian.ru/sale/flat/301508047/,Москва,sale,flat,15,17,1,38.0,-1,0,11800000,Вешняки,аллея Жемчуговой,5К3,Новогиреево,
70,Виктория Цибина,realtor,https://www.cian.ru/sale/flat/299744002/,Москва,sale,flat,4,5,1,30.3,-1,0,23000000,Хамовники, Усачева,38,Спортивная,
71,Качанова и партнеры,real_estate_agent,https://www.cian.ru/sale/flat/300638308/,Москва,sale,flat,2,9,1,32.0,-1,0,13700000,Донской, Шаболовка,54,Шаболовская,
72,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301561988/,Москва,sale,flat,8,12,1,81.0,-1,0,98000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
73,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301165914/,Москва,sale,flat,7,24,1,49.0,-1,0,23000000,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
74,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/300501002/,Москва,sale,flat,3,12,1,35.0,-1,0,10100000,Западное Дегунино, Ивана Сусанина,4К1,Моссельмаш,
75,EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/301601248/,Москва,sale,flat,16,39,1,47.6,-1,0,25000000,Раменки, Лобачевского,120к1,Аминьевская,Крылья
76,BERI,real_estate_agent,https://www.cian.ru/sale/flat/297062106/,Москва,sale,flat,2,9,1,34.1,-1,0,20990000,Красносельский,переулок Даев,12/16,Сухаревская,
77,CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301735476/,Москва,sale,flat,6,24,1,40.1,-1,0,11900000,Нагорный,Варшавское шоссе,100к1,Варшавская,
78,ТСН Владис,real_estate_agent,https://www.cian.ru/sale/flat/298620907/,Москва,sale,flat,11,16,1,44.9,-1,0,16990000,Басманный,Рубцовская набережная,2К3,Электрозаводская,
79,Estes,real_estate_agent,https://www.cian.ru/sale/flat/301504109/,Москва,sale,flat,9,9,1,41.0,-1,0,12900000,, Инженера Кнорре,7к3,Румянцево,
80,Маленков недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301389273/,Москва,sale,flat,3,9,1,31.5,-1,0,12200000,Очаково-Матвеевское,Нежинская ,13,Матвеевская,
81,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/301775124/,Москва,sale,flat,8,41,1,41.0,-1,0,34000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
82,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300099173/,Москва,sale,flat,3,15,1,37.5,-1,0,30000000,Аэропорт,Ленинградский проспект,36с39,Динамо,ВТБ Арена парк
83,ПЕРСОНА,real_estate_agent,https://www.cian.ru/sale/flat/300448810/,Москва,sale,flat,14,14,1,38.0,-1,0,8800000,Косино-Ухтомский, Дмитриевского,23,Лухмановская,
84,MOD estate,real_estate_agent,https://www.cian.ru/sale/flat/299499349/,Москва,sale,flat,5,21,1,48.4,-1,0,22800000,Щукино,Щукинская ,3,Щукинская,Интонация
85,do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/299925097/,Москва,sale,flat,8,16,1,56.1,-1,0,28000000,Таганский,переулок Большой Симоновский,2,Пролетарская,На Симоновском
86,ID 16500654,unknown,https://www.cian.ru/sale/flat/301470238/,Москва,sale,flat,16,25,1,41.5,-1,0,14300000,Раменки,1-й Сетуньский проезд,16/2,Кутузовская,
87,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301782648/,Москва,sale,flat,10,21,1,65.0,-1,0,67000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
88,ID 96167522,realtor,https://www.cian.ru/sale/flat/294926126/,Москва,sale,flat,4,9,1,26.8,-1,0,6182125,Люблино, Верхние Поля,27С2,Братиславская,
89,CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300833206/,Москва,sale,flat,1,12,1,34.1,-1,0,10900000,Черемушки, Обручева,39,Калужская,
90,ID 96167522,realtor,https://www.cian.ru/sale/flat/296746930/,Москва,sale,flat,1,9,1,34.9,-1,0,6854250,Люблино, Верхние Поля,27С2,Братиславская,
91,На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/297368415/,Москва,sale,flat,30,32,1,43.8,-1,0,16950000,Бутырский, Руставели,14,Бутырская,Руставели 14
92,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300791352/,Москва,sale,flat,2,12,1,35.8,-1,0,11499999,Академический, Винокурова,12К4,Академическая,
93,ID 96167522,realtor,https://www.cian.ru/sale/flat/298016388/,Москва,sale,flat,1,9,1,29.8,-1,0,6370000,Люблино, Верхние Поля,27С2,Братиславская,
94,ID 96167522,realtor,https://www.cian.ru/sale/flat/296746996/,Москва,sale,flat,9,9,1,35.1,-1,0,7220000,Люблино, Верхние Поля,27С2,Братиславская,
95,Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/300443342/,Москва,sale,flat,2,15,1,39.0,-1,0,11000000,Царицыно,Пролетарский проспект,33К1,Кантемировская,
96,ID 96167522,realtor,https://www.cian.ru/sale/flat/298016618/,Москва,sale,flat,4,9,1,36.1,-1,0,9120000,Люблино, Верхние Поля,27С2,Братиславская,
97,ID 96167522,realtor,https://www.cian.ru/sale/flat/295766411/,Москва,sale,flat,9,9,1,35.3,-1,0,8977500,Люблино, Верхние Поля,27С2,Братиславская,
98,Илья Есин,realtor,https://www.cian.ru/sale/flat/301623335/,Москва,sale,flat,12,13,1,35.3,-1,0,12990000,Коньково, Введенского,22К2,Беляево,
99,ID 96167522,realtor,https://www.cian.ru/sale/flat/301361857/,Москва,sale,flat,5,9,1,29.5,-1,0,6688500,Люблино, Верхние Поля,27С2,Братиславская,
100,ID 96167522,realtor,https://www.cian.ru/sale/flat/299789518/,Москва,sale,flat,6,9,1,26.9,-1,0,6507900,Люблино, Верхние Поля,27С2,Братиславская,
101,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/299486441/,Москва,sale,flat,6,12,1,41.15,-1,0,13400000,Нагатинский затон,Коломенская ,21К1,Кленовый бульвар,
102,ID 96167522,realtor,https://www.cian.ru/sale/flat/294226529/,Москва,sale,flat,5,9,1,36.1,-1,0,9120000,Люблино, Верхние Поля,27С2,Братиславская,
103,ID 96167522,realtor,https://www.cian.ru/sale/flat/294228710/,Москва,sale,flat,8,9,1,37.0,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
104,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301496355/,Москва,sale,flat,3,14,1,35.3,-1,0,10900000,Коньково, Островитянова,45К2,Коньково,
105,ID 96167522,realtor,https://www.cian.ru/sale/flat/294926973/,Москва,sale,flat,7,9,1,36.9,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
106,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301520908/,Москва,sale,flat,3,14,1,62.0,-1,0,63000000,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
107,САМОЛЕТ ПЛЮС,real_estate_agent,https://www.cian.ru/sale/flat/300043698/,Москва,sale,flat,8,17,1,38.1,-1,0,9700000,Кузьминки,Волжский бульвар,31К1,Кузьминки,
108,ID 96167522,realtor,https://www.cian.ru/sale/flat/296747241/,Москва,sale,flat,4,9,1,36.0,-1,0,9120000,Люблино, Верхние Поля,27С2,Братиславская,
109,ID 96167522,realtor,https://www.cian.ru/sale/flat/295766589/,Москва,sale,flat,9,9,1,35.9,-1,0,9072500,Люблино, Верхние Поля,27С2,Братиславская,
110,Владис,real_estate_agent,https://www.cian.ru/sale/flat/301809197/,Москва,sale,flat,3,12,1,35.2,-1,0,11300000,Кунцево,Молодогвардейская ,38К1,Молодёжная,
111,ID 96167522,realtor,https://www.cian.ru/sale/flat/298882717/,Москва,sale,flat,9,9,1,36.5,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
112,ID 96167522,realtor,https://www.cian.ru/sale/flat/297465291/,Москва,sale,flat,7,9,1,36.3,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
113,ID 661447,homeowner,https://www.cian.ru/sale/flat/301621260/,Москва,sale,flat,14,25,1,42.1,-1,0,13900000,Покровское-Стрешнево, Большая Набережная,19к2,Тушинская,
114,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/299055856/,Москва,sale,flat,2,9,1,33.6,-1,0,15500000,Мещанский,Трифоновская ,56,Рижская,
115,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/299093726/,Москва,sale,flat,4,4,1,39.9,-1,0,11700000,Южное Тушино,Окружная ,2,Трикотажная,
116,PnP Development,real_estate_agent,https://www.cian.ru/sale/flat/291263455/,Москва,sale,flat,1,14,1,24.1,-1,0,5880000,Солнцево,Боровский проезд,24,Солнечная,
117,ID 16206164,homeowner,https://www.cian.ru/sale/flat/301408225/,Москва,sale,flat,22,24,1,42.7,-1,0,19500000,Даниловский,Автозаводская ,23Бк2,ЗИЛ,Парк Легенд
118,ID 13544436,realtor,https://www.cian.ru/sale/flat/299397912/,Москва,sale,flat,12,16,1,38.5,-1,0,11900000,,проспект Магеллана,5,Филатов Луг,
119,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298169068/,Москва,sale,flat,6,25,1,36.2,-1,0,10950000,Митино,Муравская ,38к2,Пятницкое шоссе,Мир Митино
120,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300812067/,Москва,sale,flat,8,17,1,36.2,-1,0,27000000,Тверской,Садовая-Триумфальная ,22/31,Маяковская,
121,ID 112582351,realtor,https://www.cian.ru/sale/flat/301044096/,Москва,sale,flat,12,22,1,20.5,-1,0,9200000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
122,ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/301039593/,Москва,sale,flat,3,4,1,32.6,-1,0,7300000,, Театральная,7,Щербинка,
123,MERSI,real_estate_agent,https://www.cian.ru/sale/flat/299203398/,Москва,sale,flat,6,18,1,40.9,-1,0,17400000,Академический,Новочеремушкинская ,35к2,Профсоюзная,
124,ID 33199158,unknown,https://www.cian.ru/sale/flat/292196992/,Москва,sale,flat,1,4,1,41.3,-1,0,6700000,, Жемчужная,1к4,Филатов Луг,Марьино Град
125,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300485085/,Москва,sale,flat,3,3,1,20.5,-1,0,4500000,Донской,Варшавское шоссе,17С5,Верхние котлы,
126,ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/292414373/,Москва,sale,flat,16,22,1,14.3,-1,0,7450000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
127,Максим  Колесников,realtor,https://www.cian.ru/sale/flat/301350226/,Москва,sale,flat,21,25,1,33.5,-1,0,11950000,Кунцево,№ 100 кв-л,1к3,Павшино,Мякинино парк
128,ID 19637233,homeowner,https://www.cian.ru/sale/flat/301627653/,Москва,sale,flat,9,16,1,38.0,-1,0,12300000,Марьино,Новочеркасский бульвар,30,Марьино,
129,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/298376026/,Москва,sale,flat,15,30,1,37.5,-1,0,14500000,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская,
130,ID 85283713,homeowner,https://www.cian.ru/sale/flat/301519256/,Москва,sale,flat,24,24,1,42.0,-1,0,12200000,Северное Бутово, Грина,1к8,Бульвар Дмитрия Донского,
131,Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/300136053/,Москва,sale,flat,3,9,1,32.6,-1,0,9800000,Восточное Измайлово,9-я Парковая ,2,Первомайская,
132,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300140948/,Москва,sale,flat,11,20,1,44.0,-1,0,22500000,Левобережный,Ленинградское шоссе,69,Беломорская,Aquatoria
133,ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/294621795/,Москва,sale,flat,11,22,1,21.3,-1,0,8600000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
134,RED,real_estate_agent,https://www.cian.ru/sale/flat/301734792/,Москва,sale,flat,9,22,1,30.3,-1,0,7900000,, Родниковая,30к3,Саларьево,Румянцево-Парк
135,Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/300938234/,Москва,sale,flat,2,2,1,30.0,-1,0,9900000,Текстильщики,Грайвороновская ,4С2,Текстильщики,
136,ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/293749407/,Москва,sale,flat,18,21,1,46.7,-1,0,17999900,Хорошево-Мневники, Народного Ополчения,13,Народное Ополчение,Wellton Gold
137,ID 16590901,homeowner,https://www.cian.ru/sale/flat/301668357/,Москва,sale,flat,8,22,1,41.0,-1,0,12900000,Южное Медведково, Молодцова,15К2,Медведково,
138,ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/294623881/,Москва,sale,flat,15,22,1,19.9,-1,0,8060000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
139,CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/297365797/,Москва,sale,flat,9,23,1,61.5,-1,0,19500000,Нагорный,Варшавское шоссе,94,Варшавская,
140,Владис,real_estate_agent,https://www.cian.ru/sale/flat/301063006/,Москва,sale,flat,10,16,1,39.0,-1,0,9100000,Ярославский,Ярославское шоссе,57,ВДНХ,
141,Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/301476484/,Москва,sale,flat,13,22,1,17.6,-1,0,8900000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
142,ONE Company,real_estate_agent,https://www.cian.ru/sale/flat/301260654/,Москва,sale,flat,14,22,1,19.6,-1,0,8145000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
143,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/301449742/,Москва,sale,flat,8,17,1,38.5,-1,0,13400000,Марфино, Кашенкин Луг,8к3,Улица Милашенкова,
